group,n,accuracy,ci_lower,ci_upper,mean_sem_sim,mean_ctx_sim
children room,1,0.0,0.0,0.0,0.2105,0.5011
drinking water,1,0.0,0.0,0.0,0.2872,0.6151
hair brush/comb,1,1.0,1.0,1.0,0.6396,0.6256
hand back,1,1.0,1.0,1.0,0.6409,0.6152
kitchen sink,1,0.0,0.0,0.0,0.386,0.5573
light source in kitchen,1,0.0,0.0,0.0,0.5243,0.645
lightsources by bed,1,0.0,0.0,0.0,0.4735,0.5927
necklaces,1,1.0,1.0,1.0,0.7993,0.5668
phone,1,1.0,1.0,1.0,0.8053,0.675
place where serving guests,1,0.0,0.0,0.0,0.3107,0.5821
power outlet,1,1.0,1.0,1.0,0.8096,0.6599
smoke and steam exit,1,0.0,0.0,0.0,0.1837,0.5267
social drink,1,0.0,0.0,0.0,0.0,0.0
street detail,1,0.0,0.0,0.0,0.3324,0.5599
table with food,1,1.0,1.0,1.0,1.0,0.7293
