image_id,clip_vitb32,gemini,qwen_vl,num_models_correct,num_models_incorrect
5d4bde21cf0b3a0f3f335a17,1,1,1,3,0
5d4bde23cf0b3a0f3f335a4b,0,1,1,2,1
5d4bde23cf0b3a0f3f335a51,0,0,0,0,3
5d4bde23cf0b3a0f3f335a55,1,1,1,3,0
5d4bde24cf0b3a0f3f335a5d,0,0,0,0,3
5d4bde25cf0b3a0f3f335a77,1,1,1,3,0
5d4bde25cf0b3a0f3f335a7b,1,1,1,3,0
5d4bde26cf0b3a0f3f335a89,1,1,1,3,0
5d4bde27cf0b3a0f3f335aa1,1,1,0,2,1
5d4bde27cf0b3a0f3f335aa9,1,0,0,1,2
5d4bde28cf0b3a0f3f335ab1,0,0,0,0,3
5d4bde29cf0b3a0f3f335abd,1,1,1,3,0
5d4bde29cf0b3a0f3f335ac9,0,0,0,0,3
5d4bde29cf0b3a0f3f335ad3,0,0,0,0,3
5d4bde2acf0b3a0f3f335aeb,0,1,0,1,2
5d4bde2bcf0b3a0f3f335af1,1,1,1,3,0
5d4bde2bcf0b3a0f3f335af7,0,1,1,2,1
5d4bde2bcf0b3a0f3f335b03,1,0,0,1,2
5d4bde2ccf0b3a0f3f335b0d,1,1,1,3,0
5d4bde2ecf0b3a0f3f335b3f,1,1,1,3,0
5d4bde2ecf0b3a0f3f335b45,0,0,1,1,2
5d4bde2fcf0b3a0f3f335b53,1,1,1,3,0
5d4bde2fcf0b3a0f3f335b57,0,0,0,0,3
5d4bde2fcf0b3a0f3f335b61,1,1,1,3,0
5d4bde30cf0b3a0f3f335b67,1,1,1,3,0
5d4bde30cf0b3a0f3f335b69,1,1,1,3,0
5d4bde30cf0b3a0f3f335b6d,0,1,1,2,1
5d4bde30cf0b3a0f3f335b6f,0,1,0,1,2
5d4bde35cf0b3a0f3f335bdb,0,0,0,0,3
5d4bde36cf0b3a0f3f335bf3,1,0,0,1,2
5d4bde37cf0b3a0f3f335bfd,1,1,1,3,0
5d4bde37cf0b3a0f3f335c05,0,0,0,0,3
5d4bde38cf0b3a0f3f335c19,0,0,1,1,2
5d4bde3ccf0b3a0f3f335c77,1,0,0,1,2
5d4bde3ccf0b3a0f3f335c81,0,0,1,1,2
5d4bde3ccf0b3a0f3f335c85,1,1,0,2,1
5d4bde3fcf0b3a0f3f335cbf,0,1,1,2,1
5d4bde3fcf0b3a0f3f335cc3,1,1,1,3,0
5d4bde3fcf0b3a0f3f335cc7,0,0,1,1,2
5d4bde41cf0b3a0f3f335ceb,0,0,0,0,3
5d4bde43cf0b3a0f3f335d31,0,0,0,0,3
5d4bde44cf0b3a0f3f335d3f,0,0,1,1,2
5d4bde46cf0b3a0f3f335d75,1,1,1,3,0
5d4bde47cf0b3a0f3f335d97,0,0,0,0,3
5d4bde4bcf0b3a0f3f335def,1,1,0,2,1
5d4bde4ccf0b3a0f3f335e11,1,1,1,3,0
5d4bde4dcf0b3a0f3f335e35,1,1,1,3,0
5d4bde4dcf0b3a0f3f335e37,1,1,1,3,0
5d4bde4fcf0b3a0f3f335e59,0,1,0,1,2
5d4bde4fcf0b3a0f3f335e5d,0,0,0,0,3
5d4bde50cf0b3a0f3f335e6d,1,1,1,3,0
5d4bde50cf0b3a0f3f335e79,1,1,1,3,0
5d4bde51cf0b3a0f3f335e7f,1,1,1,3,0
5d4bde51cf0b3a0f3f335e83,0,0,0,0,3
5d4bde51cf0b3a0f3f335e87,0,0,0,0,3
5d4bde51cf0b3a0f3f335e93,1,1,1,3,0
5d4bde52cf0b3a0f3f335e97,1,1,1,3,0
5d4bde52cf0b3a0f3f335e99,1,1,1,3,0
5d4bde52cf0b3a0f3f335ead,1,1,1,3,0
5d4bde53cf0b3a0f3f335eb7,1,0,0,1,2
5d4bde54cf0b3a0f3f335ec9,1,1,1,3,0
5d4bde54cf0b3a0f3f335ecf,1,0,1,2,1
5d4bde55cf0b3a0f3f335ed7,1,1,1,3,0
5d4bde56cf0b3a0f3f335eeb,1,0,0,1,2
5d4bde56cf0b3a0f3f335eef,0,1,1,2,1
5d4bde56cf0b3a0f3f335ef1,1,1,1,3,0
5d4bde56cf0b3a0f3f335ef7,0,0,0,0,3
5d4bde59cf0b3a0f3f335f31,1,1,1,3,0
5d4bde5acf0b3a0f3f335f4d,1,1,0,2,1
5d4bde5acf0b3a0f3f335f51,1,1,1,3,0
5d4bde5bcf0b3a0f3f335f63,1,1,0,2,1
5d4bde5ecf0b3a0f3f335fb3,0,1,1,2,1
5d4bde5fcf0b3a0f3f335fc9,1,1,0,2,1
5d4bde5fcf0b3a0f3f335fd7,1,1,1,3,0
5d4bde60cf0b3a0f3f335feb,1,1,1,3,0
5d4bde61cf0b3a0f3f336003,1,1,1,3,0
5d4bde6ccf0b3a0f3f3360f9,1,1,1,3,0
5d4bde6fcf0b3a0f3f336143,1,1,1,3,0
5d4bde6fcf0b3a0f3f336147,1,0,0,1,2
5d4bde70cf0b3a0f3f336157,1,1,1,3,0
5d4bde71cf0b3a0f3f336163,1,1,1,3,0
5d4bde72cf0b3a0f3f33616f,1,1,1,3,0
5d4bde73cf0b3a0f3f33618d,0,1,0,1,2
5d4bde74cf0b3a0f3f33619f,1,1,1,3,0
5d4bde75cf0b3a0f3f3361b9,1,0,0,1,2
5d4bde76cf0b3a0f3f3361c9,0,0,0,0,3
5d4bde76cf0b3a0f3f3361cd,0,0,0,0,3
5d4bde77cf0b3a0f3f3361f9,1,0,0,1,2
5d4bde78cf0b3a0f3f336213,0,0,0,0,3
5d4bde79cf0b3a0f3f33621b,1,1,1,3,0
5d4bde79cf0b3a0f3f33622f,1,1,1,3,0
5d4bde7acf0b3a0f3f336243,1,1,1,3,0
5d4bde7bcf0b3a0f3f336257,0,1,1,2,1
5d4bde7ccf0b3a0f3f336271,1,1,1,3,0
5d4bde7fcf0b3a0f3f3362c3,1,1,1,3,0
5d4bde80cf0b3a0f3f3362d7,1,1,0,2,1
5d4bde84cf0b3a0f3f33631d,1,1,1,3,0
5d4bde85cf0b3a0f3f33634b,0,0,0,0,3
