group,n,accuracy,ci_lower,ci_upper,mean_sem_sim,mean_ctx_sim
bed,24,0.875,0.7083,1.0,0.7239,0.6647
bed kids,24,0.5,0.2917,0.7083,0.4865,0.587
bedroom,31,0.7742,0.6129,0.9032,0.7067,0.6473
bike,14,1.0,1.0,1.0,1.0,0.7195
books,40,0.625,0.45,0.775,0.7442,0.6565
car,14,1.0,1.0,1.0,1.0,0.7247
ceiling,40,0.625,0.475,0.775,0.7331,0.6437
chickens,7,1.0,1.0,1.0,1.0,0.7297
children room,10,0.7,0.4,1.0,0.7612,0.662
cigarettes,2,1.0,1.0,1.0,1.0,0.7289
cleaning after toilet,2,0.0,0.0,0.0,0.5298,0.6213
cleaning equipment,33,0.5152,0.3333,0.6674,0.5115,0.6092
cleaning floors,11,0.5455,0.2727,0.8182,0.6554,0.631
cooking,2,1.0,1.0,1.0,1.0,0.7281
cooking pots,38,0.7105,0.5789,0.8421,0.8162,0.665
cooking utensils,30,0.6,0.4333,0.7667,0.6271,0.651
cosmetics,19,0.6842,0.4737,0.8947,0.7748,0.6617
couch,27,0.2593,0.1111,0.4444,0.6234,0.5764
cups/mugs/glasses,38,0.5,0.3421,0.6579,0.6555,0.6215
cutlery,31,0.3871,0.2258,0.5484,0.6035,0.5958
diapers (or baby-pants),12,0.75,0.5,1.0,0.8392,0.6804
dinner guests,6,0.1667,0.0,0.5,0.463,0.5639
dish racks,26,0.2692,0.1154,0.4615,0.5711,0.5824
dish washing brush/cloth,35,0.5429,0.3714,0.7143,0.6116,0.6365
dish washing soap,28,0.6786,0.5,0.8571,0.6608,0.6357
dishwasher,6,1.0,1.0,1.0,1.0,0.7302
drainage,31,0.3548,0.1935,0.5161,0.5227,0.5862
drinking water,40,0.225,0.1,0.375,0.3889,0.5943
drying,31,0.6452,0.4839,0.8065,0.7729,0.6769
earings,21,0.619,0.381,0.8095,0.7436,0.6315
everyday shoes,37,0.973,0.9189,1.0,0.9745,0.7191
family,39,0.1795,0.0769,0.3077,0.4787,0.6102
family snapshots,12,0.5,0.25,0.75,0.6206,0.6279
favorite home decorations,19,0.4211,0.2105,0.6842,0.4222,0.5532
fishes,11,0.5455,0.2727,0.8182,0.4231,0.5869
floor,34,0.7647,0.6176,0.9118,0.8152,0.6764
freezer,24,0.9167,0.7917,1.0,0.6524,0.6094
front door,46,0.587,0.4348,0.7174,0.6974,0.6578
frontdoor keys,23,0.9565,0.8696,1.0,0.9062,0.7067
fruit trees,7,0.7143,0.4286,1.0,0.7844,0.6664
fruits and vegetables,26,0.5385,0.3452,0.7308,0.6192,0.6178
get water,3,0.0,0.0,0.0,0.2101,0.578
glasses or lenses,19,0.9474,0.8421,1.0,0.9571,0.7084
grains,27,0.2222,0.0741,0.3704,0.4514,0.5583
guest bed,13,0.5385,0.3077,0.7692,0.6083,0.6169
hair brush/comb,49,0.7959,0.6735,0.898,0.8673,0.7011
hallway,3,0.3333,0.0,1.0,0.6331,0.5865
hand back,44,0.5,0.3636,0.6591,0.6646,0.6468
hand palm,44,0.9545,0.8864,1.0,0.7347,0.6388
hand washing,27,0.5185,0.3333,0.7037,0.5947,0.6237
home,39,0.2051,0.0769,0.3333,0.4507,0.5765
icons,12,0.0,0.0,0.0,0.1357,0.5032
idols,9,0.0,0.0,0.0,0.2402,0.5123
jewelry,19,0.5263,0.3158,0.7368,0.751,0.632
kitchen,40,0.45,0.2994,0.6,0.7111,0.6206
kitchen sink,29,0.5517,0.3793,0.7241,0.6676,0.6458
knifes,27,0.7037,0.5185,0.8889,0.825,0.6678
latest furniture bought,10,0.2,0.0,0.5,0.4266,0.58
light source in kitchen,28,0.6071,0.4286,0.7857,0.6881,0.6406
light source in livingroom,37,0.5405,0.3784,0.7027,0.5543,0.6043
light sources,9,0.2222,0.0,0.5556,0.2899,0.5544
lightsources by bed,4,0.5,0.0,1.0,0.5588,0.6172
living room,22,0.6364,0.4091,0.8182,0.6458,0.597
lock on front door,39,0.8205,0.6923,0.9231,0.7624,0.6685
make up,6,0.3333,0.0,0.6667,0.5289,0.5853
meat or fish,17,0.5882,0.3529,0.8235,0.7129,0.6445
medication,27,0.7407,0.5556,0.8889,0.8117,0.6712
menstruation pads / tampax,13,0.3846,0.1538,0.6154,0.5019,0.6174
moped/motorcycle,6,1.0,1.0,1.0,1.0,0.7292
mosquito protection,17,0.1765,0.0,0.3529,0.3007,0.541
most loved item,15,0.1333,0.0,0.3333,0.2895,0.5547
most loved toy,17,0.5294,0.2941,0.7647,0.5594,0.6147
music equipment,13,0.5385,0.3077,0.8462,0.6586,0.6464
necklaces,14,1.0,1.0,1.0,0.957,0.6921
next big thing you are planning to buy,23,0.087,0.0,0.2174,0.2329,0.5295
nicest shoes,44,0.9773,0.9318,1.0,0.6266,0.5851
oven,14,0.5,0.2143,0.7857,0.6915,0.66
paper,19,0.7368,0.5263,0.8947,0.819,0.6744
parking lot,8,0.25,0.0,0.5,0.5226,0.5694
pen/pencils,27,0.8148,0.6667,0.963,0.8603,0.6885
pet,17,0.7647,0.5294,0.9412,0.8163,0.6718
pet foods,11,0.5455,0.2727,0.8182,0.6536,0.6277
phone,25,0.92,0.8,1.0,0.9495,0.6923
photo guide images,6,0.3333,0.0,0.6667,0.4411,0.5969
piercings,8,0.875,0.625,1.0,0.625,0.5794
place where eating dinner,42,0.0952,0.0238,0.1905,0.475,0.5885
place where serving guests,5,0.0,0.0,0.0,0.3331,0.5181
plate of food,31,0.5806,0.4194,0.7419,0.6936,0.6568
plates,27,0.5185,0.3333,0.7037,0.6846,0.6376
play area,23,0.2174,0.0435,0.3913,0.3618,0.5577
power outlet,32,0.9062,0.7812,1.0,0.9312,0.7091
radio,21,0.5238,0.3333,0.7143,0.6667,0.633
refrigerator,18,0.8333,0.6667,1.0,0.8775,0.6938
roof,49,0.551,0.4082,0.6735,0.6858,0.6323
rug,14,0.5714,0.2857,0.7857,0.7504,0.6511
salt,33,0.303,0.1515,0.4848,0.4902,0.5892
shampoo,42,0.4524,0.3095,0.5958,0.6471,0.6401
shaving,17,0.3529,0.1176,0.5882,0.5224,0.6197
shower,17,0.4706,0.2353,0.7059,0.5831,0.612
sitting area,19,0.2632,0.1053,0.4737,0.5146,0.584
smoke and steam exit,17,0.0,0.0,0.0,0.1405,0.5177
soap for hands and body,40,0.425,0.2744,0.575,0.5273,0.5913
social drink,26,0.3462,0.1538,0.5385,0.477,0.5853
source of cool,25,0.0,0.0,0.0,0.179,0.5202
source of heat,17,0.0588,0.0,0.1765,0.2398,0.5526
spices,30,0.3333,0.1667,0.5,0.5523,0.5827
storage room,16,0.25,0.0625,0.4375,0.436,0.5692
stove/hob,41,0.4146,0.2683,0.561,0.6618,0.6174
street detail,33,0.2121,0.0909,0.3636,0.3957,0.5685
street view,44,0.3636,0.2273,0.5,0.4881,0.5945
switch on/off,29,0.4138,0.2414,0.5871,0.535,0.627
table with food,15,0.4,0.1333,0.6667,0.6176,0.6113
tattoos,5,1.0,1.0,1.0,1.0,0.7299
teeth,32,0.5938,0.4367,0.75,0.702,0.6387
thing i dream about having,13,0.0,0.0,0.0,0.1579,0.5158
toilet,36,0.8056,0.6667,0.9167,0.854,0.6786
toilet paper,37,0.6486,0.4865,0.8108,0.7498,0.6636
tools,27,0.3333,0.1481,0.5185,0.4969,0.6087
tooth paste,25,0.72,0.52,0.88,0.7525,0.6606
toothbrush,30,0.6333,0.4667,0.8,0.738,0.6456
toys,27,0.5556,0.3704,0.7407,0.6493,0.6158
transport of heavy things,4,0.25,0.0,0.75,0.4247,0.5927
trash/waste,23,0.5217,0.3043,0.7391,0.5496,0.628
tv,26,0.9615,0.8846,1.0,0.9717,0.7185
vegetable plot,8,0.625,0.25,0.875,0.696,0.6521
vegetables,24,0.4167,0.25,0.625,0.5986,0.5956
visit,20,0.0,0.0,0.0,0.1919,0.524
wall,33,0.5758,0.3939,0.7273,0.6358,0.6305
wall clock,17,1.0,1.0,1.0,1.0,0.7278
wall decoration,35,0.4571,0.2857,0.6286,0.5568,0.6245
wall inside,39,0.4872,0.3333,0.641,0.5416,0.6131
wardrobe,45,0.6444,0.5106,0.7778,0.7549,0.6591
washing clothes/cleaning,31,0.6129,0.4508,0.7742,0.6461,0.6277
washing detergent,36,0.6111,0.4444,0.75,0.5871,0.631
waste dumps,12,0.4167,0.1667,0.6667,0.494,0.5905
wedding photos,3,0.3333,0.0,1.0,0.4935,0.5996
wheel barrow,9,1.0,1.0,1.0,1.0,0.7292
work area,16,0.375,0.125,0.625,0.5323,0.598
worship places,9,0.1111,0.0,0.3333,0.3373,0.5272
