model,image_id,region,income_quintile,ground_truth,predicted,error_type,sem_similarity,ctx_similarity,confidence,raw_response
qwen_vl,5d4bf45bcf0b3a0f3f35b81a,af,Q1,agriculture land,desert landscape,correct,0.516,0.5126,,Desert landscape
qwen_vl,5d4befc6cf0b3a0f3f353d04,af,Q1,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5d4bec84cf0b3a0f3f34e0e8,af,Q1,agriculture land,rural landscape,correct,0.6071,0.5233,,Rural landscape
qwen_vl,5d4becdecf0b3a0f3f34e996,af,Q1,agriculture land,grassland,correct,0.5124,0.5078,,Grassland
qwen_vl,5d4bf00acf0b3a0f3f354488,af,Q1,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5d4befabcf0b3a0f3f3539e6,af,Q1,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5d4befddcf0b3a0f3f353f9c,af,Q1,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5d4bf38ecf0b3a0f3f35a3cc,af,Q1,agriculture land,desert landscape,correct,0.516,0.5126,,Desert landscape
qwen_vl,5d4bee28cf0b3a0f3f350ef2,af,Q1,agriculture land,rural landscape,correct,0.6071,0.5233,,Rural landscape
qwen_vl,5d4bf080cf0b3a0f3f355058,af,Q1,agriculture land,forest,misclassification,0.3856,0.5062,,Forest
qwen_vl,5d4bee43cf0b3a0f3f351138,af,Q1,agriculture land,farmer in a field,correct,0.5809,0.5247,,Farmer in a field
qwen_vl,5d4beca4cf0b3a0f3f34e446,af,Q1,agriculture land,grassland,correct,0.5124,0.5078,,Grassland
qwen_vl,5d4bf0c0cf0b3a0f3f35571a,af,Q1,agriculture land,forest,misclassification,0.3856,0.5062,,Forest
qwen_vl,5d4be1cccf0b3a0f3f33ba41,af,Q1,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5ec4f9f3f0611d7ddd741bba,af,Q2,agriculture land,potato field,correct,0.4815,0.5267,,Potato field
qwen_vl,5ec4f9d6f0611d7ddd741ac5,af,Q3,agriculture land,banana plantation,misclassification,0.4142,0.5467,,Banana plantation
qwen_vl,5ec4f9e4f0611d7ddd741b43,af,Q3,agriculture land,weeds,misclassification,0.3525,0.5012,,Weeds
qwen_vl,5d4be6f3cf0b3a0f3f3449ca,as,Q1,agriculture land,grassland,correct,0.5124,0.5078,,Grassland
qwen_vl,5d4beedacf0b3a0f3f35228a,as,Q1,agriculture land,pathway in a forested area,misclassification,0.2188,0.5006,,Pathway in a forested area
qwen_vl,5d4beae1cf0b3a0f3f34b430,as,Q1,agriculture land,forest,misclassification,0.3856,0.5062,,Forest
qwen_vl,5d4be75fcf0b3a0f3f345536,as,Q1,agriculture land,grassland,correct,0.5124,0.5078,,Grassland
qwen_vl,5d4bef67cf0b3a0f3f3532fe,as,Q1,agriculture land,vegetation,correct,0.5271,0.5133,,Vegetation
qwen_vl,5d4be7a4cf0b3a0f3f345d10,as,Q1,agriculture land,rice paddy,misclassification,0.4386,0.5038,,Rice paddy
qwen_vl,5d4beec6cf0b3a0f3f35202a,as,Q1,agriculture land,palm trees and grassland,correct,0.5626,0.5226,,Palm trees and grassland
qwen_vl,5d4bef55cf0b3a0f3f3530d6,as,Q1,agriculture land,vegetable garden,correct,0.5396,0.5461,,Vegetable garden
qwen_vl,5d4be78bcf0b3a0f3f345a3c,as,Q1,agriculture land,rice terraces,correct,0.5116,0.5541,,Rice terraces
qwen_vl,5d4bef5bcf0b3a0f3f35318a,as,Q1,agriculture land,vegetation,correct,0.5271,0.5133,,Vegetation
qwen_vl,5d4bf2b1cf0b3a0f3f358b94,as,Q1,agriculture land,terraced field,misclassification,0.3446,0.5116,,Terraced field
qwen_vl,5d4bef7acf0b3a0f3f35353a,as,Q2,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5ec4f821f0611d7ddd740c22,as,Q2,agriculture land,garden with plants and a net,misclassification,0.4003,0.5528,,Garden with plants and a net.
qwen_vl,5d4beecdcf0b3a0f3f352104,as,Q2,agriculture land,paddy field with coconut trees,correct,0.5479,0.5469,,Paddy field with coconut trees
qwen_vl,5d4bef6dcf0b3a0f3f3533ba,as,Q2,agriculture land,cornfield,misclassification,0.3312,0.5097,,Cornfield
qwen_vl,5d4bf2b3cf0b3a0f3f358bd0,as,Q2,agriculture land,plant seedlings,misclassification,0.2977,0.5328,,Plant seedlings
qwen_vl,5d4bf194cf0b3a0f3f356c0e,as,Q2,agriculture land,grass field,misclassification,0.368,0.5094,,Grass field
qwen_vl,5d4bef74cf0b3a0f3f353470,as,Q2,agriculture land,shelter among vegetation,misclassification,0.3738,0.5408,,Shelter among vegetation
qwen_vl,5d4bf318cf0b3a0f3f3597b4,as,Q2,agriculture land,vegetable garden,correct,0.5396,0.5461,,Vegetable garden
qwen_vl,5d4bf2decf0b3a0f3f3590fe,as,Q2,agriculture land,field with palm trees,correct,0.4509,0.5305,,Field with palm trees
qwen_vl,5d4bf29ecf0b3a0f3f358958,as,Q2,agriculture land,potato field,correct,0.4815,0.5267,,Potato field
qwen_vl,5d4bf286cf0b3a0f3f35866e,as,Q3,agriculture land,field,misclassification,0.2887,0.5188,,Field
qwen_vl,5d4bdf1fcf0b3a0f3f33727f,as,Q3,agriculture land,backyard scene,misclassification,0.3883,0.5006,,Backyard scene
qwen_vl,5d4bf2e5cf0b3a0f3f3591d6,as,Q3,agriculture land,grass field,misclassification,0.368,0.5094,,Grass field
qwen_vl,5d4bf2d7cf0b3a0f3f359022,as,Q3,agriculture land,dry land,correct,0.6471,0.5297,,Dry land
