group,n,accuracy,ci_lower,ci_upper,mean_sem_sim,mean_ctx_sim
bed,24,0.9583,0.875,1.0,0.7476,0.6725
bed kids,24,0.5417,0.3333,0.75,0.4277,0.5985
bedroom,31,0.6774,0.5161,0.8387,0.7046,0.6454
bike,14,1.0,1.0,1.0,0.8748,0.6883
books,40,0.725,0.575,0.85,0.5539,0.6234
car,14,0.6429,0.3571,0.8571,0.5314,0.5717
ceiling,40,0.4,0.25,0.55,0.4276,0.5852
chickens,7,1.0,1.0,1.0,0.7895,0.6783
children room,10,0.6,0.3,0.9,0.6058,0.6038
cigarettes,2,1.0,1.0,1.0,0.6594,0.6561
cleaning after toilet,2,0.5,0.0,1.0,0.4649,0.6078
cleaning equipment,33,0.3636,0.2121,0.5455,0.4612,0.5761
cleaning floors,11,0.3636,0.0909,0.6364,0.4689,0.5602
cooking,2,0.5,0.0,1.0,0.4808,0.5946
cooking pots,38,0.7368,0.6053,0.8684,0.5713,0.6128
cooking utensils,30,0.7333,0.5667,0.8667,0.6528,0.6281
cosmetics,19,0.5789,0.3684,0.7895,0.5035,0.5673
couch,27,0.8889,0.7778,1.0,0.6192,0.5264
cups/mugs/glasses,38,0.6579,0.5,0.8158,0.5326,0.5587
cutlery,31,0.5484,0.3871,0.7097,0.4941,0.5659
diapers (or baby-pants),12,0.75,0.5,1.0,0.6441,0.636
dinner guests,6,0.3333,0.0,0.6667,0.3597,0.5364
dish racks,26,0.6538,0.4615,0.8462,0.5573,0.5843
dish washing brush/cloth,35,0.3143,0.1714,0.4857,0.3625,0.5521
dish washing soap,28,0.5714,0.3929,0.75,0.4625,0.5929
dishwasher,6,1.0,1.0,1.0,0.9087,0.6969
drainage,31,0.5806,0.4194,0.7419,0.468,0.5997
drinking water,40,0.4,0.25,0.55,0.3725,0.6128
drying,31,0.3548,0.1935,0.5161,0.3769,0.5666
earings,21,0.5714,0.3798,0.7619,0.5386,0.6333
everyday shoes,37,0.7568,0.6216,0.8919,0.5939,0.5858
family,39,0.5385,0.3846,0.6929,0.5529,0.6271
family snapshots,12,0.1667,0.0,0.4167,0.2894,0.5733
favorite home decorations,19,0.1053,0.0,0.2632,0.284,0.5232
fishes,11,0.3636,0.0909,0.6364,0.3881,0.563
floor,34,0.6765,0.5294,0.8235,0.5545,0.6152
freezer,24,1.0,1.0,1.0,0.6927,0.6408
front door,46,0.6304,0.4783,0.7609,0.558,0.6121
